id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-09-02T15:01:00;payment unleash Jamaican Dollar;1
2;Rest;2020-09-03T10:17:30;Plains;2
3;Quality Plastic plum;2020-09-02T14:37:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-09-03T11:05:04;Architect SSL;4
5;zero tolerance;2020-09-03T08:01:23;user-facing CSS;5
6;ADP Ouguiya;2020-09-03T03:57:51;Garden;6
7;auxiliary;2020-09-03T12:13:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-09-02T15:11:52;Viaduct hybrid;8
9;mesh;2020-09-03T13:37:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-09-03T11:36:25;Re-engineered withdrawal Ball;10
